pay_class,work_class,amount,evaluation_bonus
4,1,1054.50,20.50
4,2,1127.50,21.50
5,1,1167.50,22.50
5,2,1245.50,24.00
6,1,1305.50,25.00
6,2,1393.50,27.00
7,1,1424.50,27.50
7,2,1519.00,29.00
8,1,1595.50,30.50
8,2,1702.50,32.50
9,1,1786.00,34.50
9,2,1906.50,36.50
